VARIABLE_NAME,VARIABLE_VALUE
MAX_BINLOG_CACHE_SIZE,18446744073709547520
INNODB_DATA_FILE_PATH,ibdata1:10M:autoextend
PERFORMANCE_SCHEMA_MAX_FILE_CLASSES,50
INNODB_PURGE_THREADS,0
MAX_SORT_LENGTH,1024
PROFILING,OFF
PERFORMANCE_SCHEMA_EVENTS_WAITS_HISTORY_SIZE,10
INNODB_STRICT_MODE,OFF
SLAVE_COMPRESSED_PROTOCOL,OFF
KEY_CACHE_DIVISION_LIMIT,100
OLD_PASSWORDS,OFF
GENERAL_LOG_FILE,/var/lib/mysql/BornToSecWeb.log
NET_WRITE_TIMEOUT,60
PERFORMANCE_SCHEMA_MAX_COND_CLASSES,80
QUERY_CACHE_TYPE,ON
AUTO_INCREMENT_INCREMENT,1
METADATA_LOCKS_CACHE_SIZE,1024
TMPDIR,/tmp
QUERY_CACHE_LIMIT,1048576
EXPIRE_LOGS_DAYS,10
TX_ISOLATION,REPEATABLE-READ
HAVE_PARTITIONING,YES
LOG_ERROR,/var/log/mysql/error.log
FOREIGN_KEY_CHECKS,ON
MAX_LENGTH_FOR_SORT_DATA,1024
RELAY_LOG_INFO_FILE,relay-log.info
THREAD_STACK,196608
INNODB_AUTOINC_LOCK_MODE,1
NEW,OFF
INNODB_COMMIT_CONCURRENCY,0
SKIP_NAME_RESOLVE,OFF
INNODB_MIRRORED_LOG_GROUPS,1
PID_FILE,/var/run/mysqld/mysqld.pid
INNODB_PURGE_BATCH_SIZE,20
MAX_ALLOWED_PACKET,16777216
VERSION,5.5.44-0ubuntu0.12.04.1
CONCURRENT_INSERT,AUTO
INNODB_SUPPORT_XA,ON
TABLE_DEFINITION_CACHE,400
INNODB_SYNC_SPIN_LOOPS,30
QUERY_ALLOC_BLOCK_SIZE,8192
COLLATION_CONNECTION,latin1_swedish_ci
MYISAM_REPAIR_THREADS,1
INNODB_ADAPTIVE_FLUSHING,ON
FT_BOOLEAN_SYNTAX,"+ -><()~*:""""&|"
INNODB_ADAPTIVE_HASH_INDEX,ON
VERSION_COMPILE_MACHINE,i686
SYSTEM_TIME_ZONE,CET
QUERY_CACHE_WLOCK_INVALIDATE,OFF
DIV_PRECISION_INCREMENT,4
SYNC_FRM,ON
STORED_PROGRAM_CACHE,256
TMP_TABLE_SIZE,16777216
INNODB_DATA_HOME_DIR,<blank>
PERFORMANCE_SCHEMA_MAX_THREAD_INSTANCES,1000
INNODB_READ_IO_THREADS,4
MULTI_RANGE_COUNT,256
INNODB_WRITE_IO_THREADS,4
SERVER_ID,0
INNODB_BUFFER_POOL_INSTANCES,1
SKIP_NETWORKING,OFF
INNODB_FORCE_RECOVERY,0
CHARACTER_SET_SYSTEM,utf8
INNODB_LOG_FILES_IN_GROUP,2
INIT_CONNECT,<blank>
ERROR_COUNT,0
OPTIMIZER_SEARCH_DEPTH,62
HAVE_DYNAMIC_LOADING,YES
AUTOCOMMIT,ON
SYNC_BINLOG,0
SSL_CAPATH,<blank>
INNODB_PRINT_ALL_DEADLOCKS,OFF
SLAVE_EXEC_MODE,STRICT
INNODB_OPEN_FILES,300
GENERAL_LOG,OFF
INNODB_FILE_FORMAT_CHECK,ON
LAST_INSERT_ID,0
INNODB_READ_AHEAD_THRESHOLD,56
HOSTNAME,BornToSecWeb
KEY_CACHE_BLOCK_SIZE,1024
OLD,OFF
KEY_BUFFER_SIZE,16777216
REPORT_PORT,3306
HAVE_NDBCLUSTER,NO
SQL_LOG_BIN,ON
PSEUDO_SLAVE_MODE,OFF
THREAD_HANDLING,one-thread-per-connection
INNODB_STATS_METHOD,nulls_equal
LOG_BIN,OFF
INNODB_FAST_SHUTDOWN,1
RELAY_LOG_SPACE_LIMIT,0
SSL_CA,<blank>
MAX_USER_CONNECTIONS,0
INNODB_THREAD_CONCURRENCY,0
SQL_MAX_JOIN_SIZE,18446744073709551615
SLAVE_NET_TIMEOUT,3600
TABLE_OPEN_CACHE,400
INNODB_STATS_SAMPLE_PAGES,8
SQL_BIG_TABLES,OFF
LOCAL_INFILE,ON
SQL_BUFFER_RESULT,OFF
HAVE_RTREE_KEYS,YES
ENGINE_CONDITION_PUSHDOWN,ON
HAVE_PROFILING,YES
LC_MESSAGES_DIR,/usr/share/mysql/
OLD_ALTER_TABLE,OFF
HAVE_INNODB,YES
MYISAM_MMAP_SIZE,4294967295
SQL_MODE,<blank>
PERFORMANCE_SCHEMA_MAX_FILE_HANDLES,32768
TIMESTAMP,1512306289
RELAY_LOG_RECOVERY,OFF
REPORT_USER,<blank>
MAX_DELAYED_THREADS,20
HAVE_GEOMETRY,YES
DATETIME_FORMAT,%Y-%m-%d %H:%i:%s
SLOW_QUERY_LOG,OFF
INNODB_FLUSH_LOG_AT_TRX_COMMIT,1
LC_MESSAGES,en_US
MAX_RELAY_LOG_SIZE,0
LOG,OFF
INNODB_RANDOM_READ_AHEAD,OFF
OPEN_FILES_LIMIT,1024
HAVE_CSV,YES
DATADIR,/var/lib/mysql/
PORT,3306
FT_MIN_WORD_LEN,4
INNODB_CONCURRENCY_TICKETS,500
VERSION_COMPILE_OS,debian-linux-gnu
LOG_BIN_TRUST_FUNCTION_CREATORS,OFF
INNODB_LOCKS_UNSAFE_FOR_BINLOG,OFF
INNODB_FORCE_LOAD_CORRUPTED,OFF
SQL_WARNINGS,OFF
HAVE_OPENSSL,DISABLED
RELAY_LOG,<blank>
MAX_BINLOG_STMT_CACHE_SIZE,18446744073709547520
PLUGIN_DIR,/usr/lib/mysql/plugin/
PERFORMANCE_SCHEMA_MAX_FILE_INSTANCES,10000
LOG_SLOW_QUERIES,OFF
INNODB_SPIN_WAIT_DELAY,6
MAX_TMP_TABLES,32
INNODB_FILE_FORMAT_MAX,Antelope
SQL_LOG_OFF,OFF
DEFAULT_STORAGE_ENGINE,InnoDB
SLOW_QUERY_LOG_FILE,/var/lib/mysql/BornToSecWeb-slow.log
INNODB_LOCK_WAIT_TIMEOUT,50
SQL_SLAVE_SKIP_COUNTER,0
INNODB_OLD_BLOCKS_TIME,0
SECURE_AUTH,OFF
RPL_RECOVERY_RANK,0
NET_READ_TIMEOUT,30
WARNING_COUNT,0
MYISAM_STATS_METHOD,nulls_unequal
OPTIMIZER_SWITCH,"index_merge=on,index_merge_union=on,index_merge_sort_union=on,index_merge_intersection=on,engine_condition_pushdown=on"
MAX_CONNECT_ERRORS,10
LOCKED_IN_MEMORY,OFF
INNODB_FLUSH_METHOD,<blank>
EXTERNAL_USER,<blank>
INNODB_LARGE_PREFIX,OFF
INNODB_CHECKSUMS,ON
STORAGE_ENGINE,InnoDB
SSL_KEY,<blank>
HAVE_SSL,DISABLED
MYISAM_USE_MMAP,OFF
RAND_SEED2,0
SLAVE_SKIP_ERRORS,OFF
MIN_EXAMINED_ROW_LIMIT,0
INSERT_ID,0
LOG_SLAVE_UPDATES,OFF
RELAY_LOG_PURGE,ON
SYNC_MASTER_INFO,0
COLLATION_DATABASE,utf8_general_ci
INNODB_FILE_PER_TABLE,OFF
INNODB_LOG_GROUP_HOME_DIR,./
SSL_CERT,<blank>
INNODB_LOG_BUFFER_SIZE,8388608
SOCKET,/var/run/mysqld/mysqld.sock
CHARACTER_SET_CLIENT,latin1
IDENTITY,0
INNODB_MAX_PURGE_LAG,0
SKIP_EXTERNAL_LOCKING,ON
MYISAM_MAX_SORT_FILE_SIZE,2146435072
SLAVE_LOAD_TMPDIR,/tmp
SLAVE_TYPE_CONVERSIONS,<blank>
INNODB_ADDITIONAL_MEM_POOL_SIZE,8388608
SQL_NOTES,ON
INNODB_USE_SYS_MALLOC,ON
LICENSE,GPL
INNODB_MAX_DIRTY_PAGES_PCT,75
PERFORMANCE_SCHEMA_MAX_TABLE_INSTANCES,50000
THREAD_CONCURRENCY,10
UNIQUE_CHECKS,ON
INNODB_OLD_BLOCKS_PCT,37
HAVE_COMPRESS,YES

